alg_name,array_size,k_value,threshold,num_threads,mean_time,std_time
kway_par,4194304,8,4096,2,0.3452868,0.011753637111975164
kway_par,4194304,8,4096,4,0.240538,0.00650468382014069
kway_par,4194304,8,4096,8,0.1923892,0.012732635789969016
kway_par,4194304,16,16,2,0.5961626,0.010669089456931204
kway_par,4194304,16,16,4,0.5701600000000001,0.017467152280781197
kway_par,4194304,16,16,8,0.708794,0.0077672403593554585
kway_par,4194304,16,64,2,0.3922502,0.009660550944951335
kway_par,4194304,16,64,4,0.27576980000000006,0.005582384701899355
kway_par,4194304,16,64,8,0.2230366,0.00350955613147874
kway_par,4194304,16,256,2,0.3888846,0.009384879532524653
kway_par,4194304,16,256,4,0.27805240000000003,0.008372596385829194
kway_par,4194304,16,256,8,0.2232408,0.004639883938203623
kway_par,4194304,16,1024,2,0.33155239999999997,0.005884473454779116
kway_par,4194304,16,1024,4,0.2441434,0.004783571954094553
kway_par,4194304,16,1024,8,0.2016946,0.005792743792021183
kway_par,4194304,16,4096,2,0.3384114,0.003067826370575751
kway_par,4194304,16,4096,4,0.24652179999999996,0.004852347159880453
kway_par,4194304,16,4096,8,0.200629,0.0024429764632513317
kway_par,4194304,32,16,2,0.5532808,0.007332691713143272
kway_par,4194304,32,16,4,0.5162381999999999,0.025477158321916497
kway_par,4194304,32,16,8,0.6941264,0.001975515183439494
kway_par,4194304,32,64,2,0.5691664,0.008128008799207836
kway_par,4194304,32,64,4,0.5382174,0.03477504852965703
kway_par,4194304,32,64,8,0.6684528,0.0032365734596946655
kway_par,4194304,32,256,2,0.3620978,0.004426865861984083
kway_par,4194304,32,256,4,0.25965499999999997,0.006987438672360563
kway_par,4194304,32,256,8,0.2187224,0.0021511338963439712
kway_par,4194304,32,1024,2,0.3583708,0.007549880539452265
kway_par,4194304,32,1024,4,0.26526960000000005,0.006962616996503548
kway_par,4194304,32,1024,8,0.215217,0.0018129925537629695
kway_par,4194304,32,4096,2,0.32284820000000003,0.018388011207305682
kway_par,4194304,32,4096,4,0.25439960000000006,0.011115148070988528
kway_par,4194304,32,4096,8,0.2184436,0.008493072296878205
kway_par,16777216,2,16,2,3.5607800000000003,0.08613606166989526
kway_par,16777216,2,16,4,2.92484,0.06668695674567855
kway_par,16777216,2,16,8,2.0988700000000002,0.04753960496259933
kway_par,16777216,2,64,2,2.898596,0.027512542303465955
kway_par,16777216,2,64,4,2.436318,0.023035729986262587
kway_par,16777216,2,64,8,1.73599,0.024304037524658283
kway_par,16777216,2,256,2,2.619676,0.04292630363774638
kway_par,16777216,2,256,4,2.167634,0.05418419828695445
kway_par,16777216,2,256,8,1.533536,0.04927352051558732
kway_par,16777216,2,1024,2,2.3416959999999998,0.014821871136938143
kway_par,16777216,2,1024,4,1.964684,0.08809222567287081
kway_par,16777216,2,1024,8,1.45372,0.02785260418704149
kway_par,16777216,2,4096,2,2.206778,0.03507638829754281
kway_par,16777216,2,4096,4,1.7715319999999999,0.014104618250771618
kway_par,16777216,2,4096,8,1.3326620000000002,0.012905080239967502
kway_par,16777216,4,16,2,2.201638,0.012968477782685289
kway_par,16777216,4,16,4,1.4399520000000001,0.010780852285417938
kway_par,16777216,4,16,8,1.3050739999999998,0.008057504824696058
kway_par,16777216,4,64,2,1.9486899999999998,0.006400959303104487
kway_par,16777216,4,64,4,1.2573860000000001,0.062099886505532324
kway_par,16777216,4,64,8,1.0157014,0.031418769292255865
kway_par,16777216,4,256,2,1.905312,0.021207728214026157
kway_par,16777216,4,256,4,1.147172,0.023548472901655442
kway_par,16777216,4,256,8,0.9552992,0.023289626243458678
kway_par,16777216,4,1024,2,1.645654,0.012163317968383451
kway_par,16777216,4,1024,4,1.054328,0.005238249325872104
kway_par,16777216,4,1024,8,0.8893506,0.006137519388156756
kway_par,16777216,4,4096,2,1.523198,0.020946711818326018
kway_par,16777216,4,4096,4,1.0120632,0.03990505215834205
kway_par,16777216,4,4096,8,0.8248581999999999,0.017343027525781065
kway_par,16777216,8,16,2,2.2003,0.013929990667620776
kway_par,16777216,8,16,4,1.591156,0.017255826378356987
kway_par,16777216,8,16,8,1.718598,0.018089057908028255
kway_par,16777216,8,64,2,1.69452,0.024483691715098878
kway_par,16777216,8,64,4,1.1149280000000001,0.008406672112078637
kway_par,16777216,8,64,8,0.8669917999999999,0.014607363874429902
kway_par,16777216,8,256,2,1.6998279999999997,0.012179614772233194
kway_par,16777216,8,256,4,1.1348280000000002,0.01324867600932254
kway_par,16777216,8,256,8,0.8774620000000001,0.022672770170404852
